"year","state_abbr","state","proposed_sales_tax_change","proposed_income_tax_change","proposed_business_tax_change","proposed_cigarette_tax_change","proposed_motor_fuel_tax_change","proposed_other_tax_change","proposed_fee_change","total_proposed_change"
1988,"AL","Alabama",0,0,0,0,0,0,0,0
1988,"AK","Alaska",0,0,0,0,0,0,0,0
1988,"AZ","Arizona",50,20,6.2,0,0,0,0,76.2
1988,"AR","Arkansas",0,0,0,0,0,0,0,0
1988,"CA","California",0,0,0,0,0,0,0,0
1988,"CO","Colorado",0,0,0,0,0,0,0,0
1988,"CT","Connecticut",0,0,0,0,0,0,0,0
1988,"DE","Delaware",0,0,0,0,0,0,0,0
1988,"FL","Florida",0,0,0,0,0,0,0,0
1988,"GA","Georgia",0,0,0,0,0,0,0,0
1988,"HI","Hawaii",0,0,0,0,0,0,0,0
1988,"ID","Idaho",16.7,0,15,0,0,1.8,0,60
1988,"IL","Illinois",0,0,0,0,0,0,0,0
1988,"IN","Indiana",0,0,0,0,0,0,0,0
1988,"IA","Iowa",0,0,6,29.5,2.2,0,0,37.7
1988,"KS","Kansas",-7.3,-21.3,0,0,0,0,0,-28.6
1988,"KY","Kentucky",0,0,0,0,0,0,0,0
1988,"LA","Louisiana",0,0,0,0,0,0,0,0
1988,"ME","Maine",0,0,0,0,0,0,0,35
1988,"MD","Maryland",0,0,0,0,0,0,0,12
1988,"MA","Massachusettes",0,67,7,0,0,0,0,74
1988,"MI","Michigan",0,179,13,0,0,58,0,250
1988,"MN","Minnesota",26,0,12.4,0,0,-3.2,0,35.2
1988,"MS","Mississippi",0,0,0,0,0,0,0,0
1988,"MO","Missouri",0,0,0,0,0,0,0,0
1988,"MY","Montana",0,0,0,0,0,0,0,0
1988,"NE","Nebraska",0,0,0,0,0,0,0,0
1988,"NV","Nevada",0,0,0,0,0,0,0,0
1988,"NH","NewHampshire",0,0,0,0,0,0,0,0
1988,"NJ","NewJersey",0,0,0,0,0,0,0,0
1988,"NM","NewMexico",0,0,0,0,0,0,0,0
1988,"NY","NewYork",0,0,0,0,0,22,0,22
1988,"NC","NorthCarolina",0,0,0,0,0,-27,0,-27
1988,"ND","NorthDakota",0,0,0,0,0,0,0,0
1988,"OH","Ohio",0,0,0,0,0,0,0,0
1988,"OK","Oklahoma",0,-4,0,0,0,0,0,-4
1988,"OR","Oregon",0,0,0,0,0,0,0,0
1988,"PA","Pennsylvania",0,0,0,0,0,0,0,0
1988,"RI","RhodeIsland",0,0,0,0,0,0,0,0
1988,"SC","SouthCarolina",0,0,0,0,0,3.2,0,3.2
1988,"SD","SouthDakota",-48,0,0,0,0,0,0,-48
1988,"TN","Tennessee",0,0,0,0,0,0,0,0
1988,"TX","Texas",0,0,0,0,0,0,0,0
1988,"UT","Utah",0,0,0,0,0,0,0,0
1988,"VT","Vermont",0,-8.5,0,0,0,0,0,-8.5
1988,"VA","Virginia",0,0,0,0,0,0,0,0
1988,"WA","Washington",3.5,0,0,0,0,0,0,3.5
1988,"WV","WestVirginia",0,0,0,12.2,0,34.4,0,96.6
