"state","year","pct_D","pct_R","pct_I","win_D","win_R","win_I"
"AK",1958,59.6083,39.4115,0.980232,1,0,0
"AK",1962,52.2697,47.7303,0,1,0,NA
"AK",1966,48.3679,49.997,1.63514,0,1,0
"AK",1970,52.3762,46.1308,1.49296,1,0,0
"AK",1974,47.4087,47.6395,4.95179,0,1,0
"AK",1982,46.2277,37.1655,14.9436,1,0,0
"AK",1986,47.832,43.0862,5.63839,1,0,0
"AK",1994,43.265,43.0006,13.7344,1,0,0
"AK",2002,40.8811,55.8799,1.22994,0,1,0
"AK",2006,41.0394,48.408,9.4721,0,1,0
"AK",2010,37.807,59.2721,1.87039,0,1,0
"AL",1946,88.6672,11.3328,0,1,0,NA
"AL",1950,91.1033,8.89672,0,1,0,NA
"AL",1954,73.3741,26.6259,0,1,0,NA
"AL",1958,88.4415,11.2253,0.333271,1,0,0
"AL",1962,96.2667,3.73334,0,1,0,NA
"AL",1966,63.3775,31.0037,5.61879,1,0,0
"AL",1974,83.1639,14.7719,2.06416,1,0,0
"AL",1978,72.5713,25.9,1.06552,1,0,0
"AL",1982,57.6414,39.0587,1.58923,1,0,0
"AL",1986,43.5526,56.4474,0,0,1,NA
"AL",1990,47.8853,52.1147,0,0,1,NA
"AL",1994,49.5515,50.4485,0,0,1,NA
"AL",1998,57.8108,42.1892,0,1,0,NA
"AL",2002,49.033,49.2616,1.70541,0,1,0
"AL",2006,41.984,58.016,0,0,1,NA
"AL",2010,42.1018,57.8982,0,0,1,NA
"AR",1946,84.1399,15.8601,0,1,0,NA
"AR",1948,89.1514,10.8486,0,1,0,NA
"AR",1950,84.1356,15.8644,0,1,0,NA
"AR",1952,87.4122,12.5878,0,1,0,NA
"AR",1954,62.1025,37.8975,0,1,0,NA
"AR",1956,80.6485,19.3515,0,1,0,NA
"AR",1958,82.4711,17.5289,0,1,0,NA
"AR",1960,69.2119,30.7881,0,1,0,NA
"AR",1962,73.2713,26.7287,0,1,0,NA
"AR",1964,57.0035,42.9965,0,1,0,NA
"AR",1966,45.6416,54.3584,0,0,1,NA
"AR",1968,47.5658,52.4342,0,0,1,NA
"AR",1970,61.6627,32.4062,5.93108,1,0,0
"AR",1972,75.4383,24.5617,0,1,0,NA
"AR",1974,65.5742,34.4104,0.0153853,1,0,0
"AR",1976,83.236,16.7434,0.0206342,1,0,0
"AR",1978,63.3567,36.631,0.0122894,1,0,0
"AR",1980,48.0664,51.9336,0,0,1,NA
"AR",1982,54.7101,45.2899,0,1,0,NA
"AR",1984,62.5528,37.4472,0,1,0,NA
"AR",1986,63.8971,36.0864,0.0164143,1,0,0
"AR",1990,57.4945,42.4941,0.0113442,1,0,0
"AR",1994,59.8371,40.1629,0,1,0,NA
"AR",1998,38.657,59.7709,1.57207,0,1,0
"AR",2002,46.9682,53.0318,0,0,1,NA
"AR",2006,55.6295,40.6847,2.03617,1,0,0
"AR",2010,64.4779,33.6629,1.85913,1,0,0
"AZ",1946,60.0962,39.9038,0,1,0,NA
"AZ",1948,59.1738,40.0638,0.762373,1,0,0
"AZ",1950,49.234,50.766,0,0,1,NA
"AZ",1952,39.8383,60.1617,0,0,1,NA
"AZ",1954,52.5081,47.4919,0,1,0,NA
"AZ",1956,59.547,40.453,0,1,0,NA
"AZ",1958,44.8691,55.1309,0,0,1,NA
"AZ",1960,40.6956,59.3044,0,0,1,NA
"AZ",1962,45.1735,54.8265,0,0,1,NA
"AZ",1964,53.2412,46.7588,0,1,0,NA
"AZ",1966,46.2291,53.7709,0,0,1,NA
"AZ",1968,42.1644,57.8356,0,0,1,NA
"AZ",1970,49.1124,50.8876,0,0,1,NA
"AZ",1974,50.4122,49.5608,0.0269831,1,0,0
"AZ",1978,52.4746,44.7666,1.93499,1,0,0
